source,target,relation
前山安检口/前山1通道,前山安检口/前山2通道,same_security_gate
前山安检口/前山2通道,前山安检口/前山1通道,same_security_gate
前山安检口/前山1通道,前山安检口/前山3通道,same_security_gate
前山安检口/前山3通道,前山安检口/前山1通道,same_security_gate
前山安检口/前山2通道,前山安检口/前山3通道,same_security_gate
前山安检口/前山3通道,前山安检口/前山2通道,same_security_gate
外餐安检口/外餐1通道,外餐安检口/外餐2通道,same_security_gate
外餐安检口/外餐2通道,外餐安检口/外餐1通道,same_security_gate
外餐安检口/外餐1通道,外餐安检口/外餐3通道,same_security_gate
外餐安检口/外餐3通道,外餐安检口/外餐1通道,same_security_gate
外餐安检口/外餐1通道,外餐安检口/外餐4通道,same_security_gate
外餐安检口/外餐4通道,外餐安检口/外餐1通道,same_security_gate
外餐安检口/外餐1通道,外餐安检口/外餐5通道,same_security_gate
外餐安检口/外餐5通道,外餐安检口/外餐1通道,same_security_gate
外餐安检口/外餐1通道,外餐安检口/外餐6通道,same_security_gate
外餐安检口/外餐6通道,外餐安检口/外餐1通道,same_security_gate
外餐安检口/外餐2通道,外餐安检口/外餐3通道,same_security_gate
外餐安检口/外餐3通道,外餐安检口/外餐2通道,same_security_gate
外餐安检口/外餐2通道,外餐安检口/外餐4通道,same_security_gate
外餐安检口/外餐4通道,外餐安检口/外餐2通道,same_security_gate
外餐安检口/外餐2通道,外餐安检口/外餐5通道,same_security_gate
外餐安检口/外餐5通道,外餐安检口/外餐2通道,same_security_gate
外餐安检口/外餐2通道,外餐安检口/外餐6通道,same_security_gate
外餐安检口/外餐6通道,外餐安检口/外餐2通道,same_security_gate
外餐安检口/外餐3通道,外餐安检口/外餐4通道,same_security_gate
外餐安检口/外餐4通道,外餐安检口/外餐3通道,same_security_gate
外餐安检口/外餐3通道,外餐安检口/外餐5通道,same_security_gate
外餐安检口/外餐5通道,外餐安检口/外餐3通道,same_security_gate
外餐安检口/外餐3通道,外餐安检口/外餐6通道,same_security_gate
外餐安检口/外餐6通道,外餐安检口/外餐3通道,same_security_gate
外餐安检口/外餐4通道,外餐安检口/外餐5通道,same_security_gate
外餐安检口/外餐5通道,外餐安检口/外餐4通道,same_security_gate
外餐安检口/外餐4通道,外餐安检口/外餐6通道,same_security_gate
外餐安检口/外餐6通道,外餐安检口/外餐4通道,same_security_gate
外餐安检口/外餐5通道,外餐安检口/外餐6通道,same_security_gate
外餐安检口/外餐6通道,外餐安检口/外餐5通道,same_security_gate
global:ticket,前山安检口/前山1通道,ticket_to_gate
前山安检口/前山1通道,global:ticket,ticket_to_gate
global:rail,前山安检口/前山1通道,rail_to_gate
前山安检口/前山1通道,global:rail,rail_to_gate
global:ticket,前山安检口/前山2通道,ticket_to_gate
前山安检口/前山2通道,global:ticket,ticket_to_gate
global:rail,前山安检口/前山2通道,rail_to_gate
前山安检口/前山2通道,global:rail,rail_to_gate
global:ticket,前山安检口/前山3通道,ticket_to_gate
前山安检口/前山3通道,global:ticket,ticket_to_gate
global:rail,前山安检口/前山3通道,rail_to_gate
前山安检口/前山3通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐1通道,ticket_to_gate
外餐安检口/外餐1通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐1通道,rail_to_gate
外餐安检口/外餐1通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐2通道,ticket_to_gate
外餐安检口/外餐2通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐2通道,rail_to_gate
外餐安检口/外餐2通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐3通道,ticket_to_gate
外餐安检口/外餐3通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐3通道,rail_to_gate
外餐安检口/外餐3通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐4通道,ticket_to_gate
外餐安检口/外餐4通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐4通道,rail_to_gate
外餐安检口/外餐4通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐5通道,ticket_to_gate
外餐安检口/外餐5通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐5通道,rail_to_gate
外餐安检口/外餐5通道,global:rail,rail_to_gate
global:ticket,外餐安检口/外餐6通道,ticket_to_gate
外餐安检口/外餐6通道,global:ticket,ticket_to_gate
global:rail,外餐安检口/外餐6通道,rail_to_gate
外餐安检口/外餐6通道,global:rail,rail_to_gate
map:official,global:ticket,context_to_ticket
global:ticket,map:official,context_to_ticket
map:official,global:rail,context_to_rail
global:rail,map:official,context_to_rail
map:official,前山安检口/前山1通道,context_to_security
前山安检口/前山1通道,map:official,context_to_security
map:official,前山安检口/前山2通道,context_to_security
前山安检口/前山2通道,map:official,context_to_security
map:official,前山安检口/前山3通道,context_to_security
前山安检口/前山3通道,map:official,context_to_security
map:official,外餐安检口/外餐1通道,context_to_security
外餐安检口/外餐1通道,map:official,context_to_security
map:official,外餐安检口/外餐2通道,context_to_security
外餐安检口/外餐2通道,map:official,context_to_security
map:official,外餐安检口/外餐3通道,context_to_security
外餐安检口/外餐3通道,map:official,context_to_security
map:official,外餐安检口/外餐4通道,context_to_security
外餐安检口/外餐4通道,map:official,context_to_security
