target,calibration_feature,coefficient,ridge_alpha
person_h6,model_prediction,1.163843035697937,0.001
person_h6,total_person_count,0.0023717163130640984,0.001
person_h6,total_person_count_lag_1,0.01503512728959322,0.001
person_h6,total_person_count_lag_6,0.022532906383275986,0.001
person_h6,total_person_count_lag_12,-0.004549258854240179,0.001
person_h6,total_person_count_roll_mean_6,-0.12579156458377838,0.001
person_h6,total_person_count_roll_mean_12,0.08221624791622162,0.001
person_h6,gate_person_count,0.009040217846632004,0.001
person_h6,system_person_count,-0.0049019441939890385,0.001
person_h6,intercept,-1.074415922164917,0.001
wait_h6,model_prediction,0.7621132731437683,0.001
wait_h6,avg_queue_wait_min,-0.01733110472559929,0.001
wait_h6,avg_queue_wait_min_lag_1,-0.016237732023000717,0.001
wait_h6,avg_queue_wait_min_lag_6,-0.02866194397211075,0.001
wait_h6,avg_queue_wait_min_lag_12,0.002192471642047167,0.001
wait_h6,avg_queue_wait_min_roll_mean_6,0.10197144001722336,0.001
wait_h6,avg_queue_wait_min_roll_mean_12,-0.12936128675937653,0.001
wait_h6,gate_wait_mean,-0.06814901530742645,0.001
wait_h6,system_wait_mean,0.22859559953212738,0.001
wait_h6,intercept,0.268913209438324,0.001
person_h12,model_prediction,1.245999813079834,0.001
person_h12,total_person_count,0.017794448882341385,0.001
person_h12,total_person_count_lag_1,-0.006740183103829622,0.001
person_h12,total_person_count_lag_6,-0.010771102271974087,0.001
person_h12,total_person_count_lag_12,-0.01946922019124031,0.001
person_h12,total_person_count_roll_mean_6,-0.04248102009296417,0.001
person_h12,total_person_count_roll_mean_12,0.05119289457798004,0.001
person_h12,gate_person_count,0.01049757655709982,0.001
person_h12,system_person_count,-0.01542587112635374,0.001
person_h12,intercept,-1.0667165517807007,0.001
wait_h12,model_prediction,0.9249280691146851,0.001
wait_h12,avg_queue_wait_min,0.0022780897561460733,0.001
wait_h12,avg_queue_wait_min_lag_1,0.007693371269851923,0.001
wait_h12,avg_queue_wait_min_lag_6,-0.00304651097394526,0.001
wait_h12,avg_queue_wait_min_lag_12,-0.010513431392610073,0.001
wait_h12,avg_queue_wait_min_roll_mean_6,-0.03987631946802139,0.001
wait_h12,avg_queue_wait_min_roll_mean_12,-0.08474189788103104,0.001
wait_h12,gate_wait_mean,-0.03079366311430931,0.001
wait_h12,system_wait_mean,-0.015836011618375778,0.001
wait_h12,intercept,0.3853130340576172,0.001
