target,calibration_feature,coefficient,ridge_alpha
person_h6,model_prediction,1.3172167539596558,0.001
person_h6,total_person_count,0.004260955844074488,0.001
person_h6,total_person_count_lag_1,0.04990039020776749,0.001
person_h6,total_person_count_lag_6,0.01450322475284338,0.001
person_h6,total_person_count_lag_12,-0.0031199678778648376,0.001
person_h6,total_person_count_roll_mean_6,-0.18197466433048248,0.001
person_h6,total_person_count_roll_mean_12,0.07374735176563263,0.001
person_h6,gate_person_count,0.015455808490514755,0.001
person_h6,system_person_count,-0.014152321964502335,0.001
person_h6,intercept,-1.8748708963394165,0.001
wait_h6,model_prediction,0.8654830455780029,0.001
wait_h6,avg_queue_wait_min,-0.03535228222608566,0.001
wait_h6,avg_queue_wait_min_lag_1,-0.010084360837936401,0.001
wait_h6,avg_queue_wait_min_lag_6,-0.02026733011007309,0.001
wait_h6,avg_queue_wait_min_lag_12,-0.007836522534489632,0.001
wait_h6,avg_queue_wait_min_roll_mean_6,0.035965558141469955,0.001
wait_h6,avg_queue_wait_min_roll_mean_12,-0.06612547487020493,0.001
wait_h6,gate_wait_mean,-0.06429130584001541,0.001
wait_h6,system_wait_mean,0.13740503787994385,0.001
wait_h6,intercept,0.1761859804391861,0.001
person_h12,model_prediction,1.016830325126648,0.001
person_h12,total_person_count,0.007323045749217272,0.001
person_h12,total_person_count_lag_1,0.009954405017197132,0.001
person_h12,total_person_count_lag_6,-0.000535462808329612,0.001
person_h12,total_person_count_lag_12,-0.02344397082924843,0.001
person_h12,total_person_count_roll_mean_6,0.00615432346239686,0.001
person_h12,total_person_count_roll_mean_12,0.026668870821595192,0.001
person_h12,gate_person_count,0.01121593452990055,0.001
person_h12,system_person_count,-0.01207660511136055,0.001
person_h12,intercept,-0.28796350955963135,0.001
wait_h12,model_prediction,0.9019423127174377,0.001
wait_h12,avg_queue_wait_min,-0.013890829868614674,0.001
wait_h12,avg_queue_wait_min_lag_1,0.012960581108927727,0.001
wait_h12,avg_queue_wait_min_lag_6,0.004308645147830248,0.001
wait_h12,avg_queue_wait_min_lag_12,-0.022164609283208847,0.001
wait_h12,avg_queue_wait_min_roll_mean_6,-0.038611821830272675,0.001
wait_h12,avg_queue_wait_min_roll_mean_12,-0.10302787274122238,0.001
wait_h12,gate_wait_mean,-0.01317604724317789,0.001
wait_h12,system_wait_mean,-0.0670495480298996,0.001
wait_h12,intercept,0.39725780487060547,0.001
